date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:08	340/340	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22154-56d5bbe607fc0%22	https://g0dma0.tilda.ws/OPR/	C:/My%20Websites/mypage/g0dma0.tilda.ws/OPR/index.html	(from https://g0dma0.tilda.ws/)
18:16:09	18/18	---M--	200	added ('OK')	application/javascript	date:Sat,%2029%20Mar%202025%2010:08:45%20GMT	https://static.tildacdn.info/ws/project12625447/tilda-blocks-page65561001.min.js?t=1743242925	C:/My%20Websites/mypage/static.tildacdn.info/ws/project12625447/tilda-blocks-page65561001.min1b9e.js	(from https://g0dma0.tilda.ws/)
18:16:09	19716/19716	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267e513b2-4d04%22	https://static.tildacdn.info/js/tilda-lazyload-1.0.min.js	C:/My%20Websites/mypage/static.tildacdn.info/js/tilda-lazyload-1.0.min.js	(from https://g0dma0.tilda.ws/)
18:16:09	34334/34334	---MCZ	200	added ('OK')	application/javascript	etag:W/%226769451c-861e%22	https://static.tildacdn.info/js/tilda-animation-2.0.min.js	C:/My%20Websites/mypage/static.tildacdn.info/js/tilda-animation-2.0.min.js	(from https://g0dma0.tilda.ws/)
18:16:09	35606/35606	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267e3f3fe-8b16%22	https://static.tildacdn.info/js/tilda-zero-1.1.min.js	C:/My%20Websites/mypage/static.tildacdn.info/js/tilda-zero-1.1.min.js	(from https://g0dma0.tilda.ws/)
18:16:10	1460/1460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22679251cb-5b4%22	https://static.tildacdn.info/js/tilda-paint-icons.min.js	C:/My%20Websites/mypage/static.tildacdn.info/js/tilda-paint-icons.min.js	(from https://g0dma0.tilda.ws/)
18:16:10	7547/7547	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267c6fdbb-1d7b%22	https://static.tildacdn.info/js/tilda-zero-scale-1.0.min.js	C:/My%20Websites/mypage/static.tildacdn.info/js/tilda-zero-scale-1.0.min.js	(from https://g0dma0.tilda.ws/)
18:16:10	13408/13408	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267b32cec-3460%22	https://static.tildacdn.info/js/tilda-events-1.0.min.js	C:/My%20Websites/mypage/static.tildacdn.info/js/tilda-events-1.0.min.js	(from https://g0dma0.tilda.ws/)
18:16:10	819/819	---M--	200	added ('OK')	image/png	etag:%22008f3580b6c16d8902b62bf0982176c8%22	https://static.tildacdn.info/img/tildacopy.png	C:/My%20Websites/mypage/static.tildacdn.info/img/tildacopy.png	(from https://g0dma0.tilda.ws/)
18:16:11	9686/9686	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267d13626-25d6%22	https://static.tildacdn.info/js/tilda-stat-1.0.min.js	C:/My%20Websites/mypage/static.tildacdn.info/js/tilda-stat-1.0.min.js	(from https://g0dma0.tilda.ws/)
